raman_shift	intensity
760.5141	202
761.54211	207
762.56879	203
763.59534	202
764.62183	205
765.64941	204
766.67566	204
767.70178	204
768.72784	204
769.7525	204
770.77832	204
771.80408	205
772.83099	201
773.85651	202
774.8819	203
775.90723	203
776.93372	202
777.9588	203
778.98126	199
780.00616	202
781.03223	203
782.05695	200
783.08154	201
784.1048	201
785.12915	202
786.15344	203
787.17761	203
788.20294	205
789.22443	203
790.24829	203
791.27332	204
792.297	203
793.31799	206
794.34149	204
795.36609	204
796.38934	204
797.40997	203
798.43427	203
799.45721	202
800.47754	203
801.50031	204
802.52417	204
803.54419	203
804.56665	204
805.59021	203
806.60992	206
807.63202	205
808.65277	205
809.67474	204
810.69653	203
811.71698	206
812.73859	205
813.75757	204
814.77899	204
815.79901	204
816.82025	203
817.83881	203
818.86108	204
819.88196	203
820.90021	203
821.92218	205
822.94025	207
823.96069	204
824.97986	204
825.99762	207
827.01776	205
828.03656	202
829.05658	205
830.07391	206
831.09369	205
832.11206	204
833.12909	202
834.14984	203
835.16669	203
836.18591	204
837.2038	202
838.22034	203
839.23932	202
840.2569	202
841.27313	204
842.29175	205
843.30902	202
844.32495	204
845.34332	205
846.36029	202
847.37592	202
848.39392	205
849.41058	205
850.4259	204
851.4411	204
852.46002	205
853.47498	203
854.48993	201
855.50598	204
856.52319	201
857.53778	202
858.55353	203
859.56793	205
860.5835	204
861.60022	205
862.61426	204
863.62952	204
864.64343	203
865.65723	207
866.67212	203
867.68573	205
868.70172	201
869.71637	203
870.72968	201
871.74408	204
872.75714	205
873.77014	202
874.78424	204
875.79706	203
876.81097	206
877.82355	202
878.836	204
879.84961	203
880.86188	202
881.87531	203
882.88739	202
883.89935	206
884.91248	203
885.92426	204
886.93591	203
887.94873	204
888.96014	204
889.97278	202
890.98401	202
891.99518	204
893.00751	203
894.01843	201
895.03058	202
896.04132	205
897.04944	205
898.06128	203
899.07172	204
900.08331	201
901.09357	205
902.1037	204
903.11499	202
904.12244	203
905.13354	200
906.14331	205
907.15417	204
908.1637	200
909.17065	202
910.18127	202
911.19049	202
